Protein_ID	Cancer Driver
PPP2R1A-210	Census, Compendium
FLCN-203	Census, Compendium
IL6ST-221	Census, Compendium
PTPN6-201	Census, Compendium
FGFR2-213	Census, Compendium
ACVR1-210	Census, Compendium
DGCR8-203	Census, Compendium
PIK3R1-204	Census, Compendium
SETBP1-204	Census, Compendium
STAT3-212	Census, Compendium
USP6-201	Census, Compendium
CTNNB1-256	Census, Compendium
PIK3R1-211	Census, Compendium
APC-203	Census, Compendium
TRRAP-205	Census, Compendium
CDK4-211	Census, Compendium
DICER1-212	Census, Compendium
MEN1-213	Census, Compendium
MAF-201	Census, Compendium
SMARCA4-213	Census, Compendium
KDM5C-216	Census, Compendium
MAPK1-201	Census, Compendium
USP44-203	Census, Compendium
PTPRT-207	Census, Compendium
NCOR1-201	Census, Compendium
QKI-202	Census, Compendium
SPOP-207	Census, Compendium
PML-204	Census, Compendium
ARHGAP5-207	Census, Compendium
RAF1-258	Census, Compendium
TSC2-221	Census, Compendium
BRCA1-218	Census, Compendium
RAF1-242	Census, Compendium
DICER1-208	Census, Compendium
CNOT3-202	Census, Compendium
CD79B-203	Census, Compendium
ACSL3-220	Census, Compendium
CLTC-212	Census, Compendium
LIFR-201	Census, Compendium
PTPRD-202	Census, Compendium
SRSF2-208	Census, Compendium
BCL10-203	Census, Compendium
ELF4-202	Census, Compendium
XPO1-239	Census, Compendium
BCL9-201	Census, Compendium
NONO-233	Census, Compendium
STAT3-211	Census, Compendium
TP53-225	Census, Compendium
MYO5A-201	Census, Compendium
AKT3-220	Census, Compendium
TFG-228	Census, Compendium
ERCC2-204	Census, Compendium
STAT6-208	Census, Compendium
ACVR1-206	Census, Compendium
FGFR3-205	Census, Compendium
FBXW7-201	Census, Compendium
BIRC3-201	Census, Compendium
MYC-212	Census, Compendium
BCORL1-203	Census, Compendium
MAP2K1-201	Census, Compendium
FGFR1-234	Census, Compendium
HIP1-201	Census, Compendium
POLD1-209	Census, Compendium
RALGDS-202	Census, Compendium
SMARCA4-201	Census, Compendium
ACKR3-202	Census, Compendium
ZFHX3-201	Census, Compendium
SMAD4-210	Census, Compendium
FGFR1-209	Census, Compendium
PML-208	Census, Compendium
RBM15-201	Census, Compendium
LATS1-201	Census, Compendium
ZEB1-201	Census, Compendium
MYC-206	Census, Compendium
BRCA1-205	Census, Compendium
PRKCB-201	Census, Compendium
MYH9-203	Census, Compendium
NUMA1-213	Census, Compendium
BCL10-202	Census, Compendium
CDKN1B-201	Census, Compendium
NFE2L2-215	Census, Compendium
RPL10-206	Census, Compendium
STK11-208	Census, Compendium
RBM15-208	Census, Compendium
PTPRD-214	Census, Compendium
PBRM1-216	Census, Compendium
MAP2K1-216	Census, Compendium
BTK-230	Census, Compendium
AFF1-211	Census, Compendium
IL6ST-219	Census, Compendium
ATM-227	Census, Compendium
RUNX1T1-232	Census, Compendium
PRDM1-209	Census, Compendium
ARHGAP5-208	Census, Compendium
FAS-202	Census, Compendium
NIN-220	Census, Compendium
EIF3E-240	Census, Compendium
SMARCA4-244	Census, Compendium
QKI-207	Census, Compendium
CCND2-206	Census, Compendium
MSI2-203	Census, Compendium
CUL3-204	Census, Compendium
PTPRK-207	Census, Compendium
IDH2-203	Census, Compendium
ARHGEF10-201	Census, Compendium
KDM6A-212	Census, Compendium
NFE2L2-227	Census, Compendium
NRG1-203	Census, Compendium
BCORL1-204	Census, Compendium
CDKN2A-201	Census, Compendium
EPAS1-202	Census, Compendium
AFF3-207	Census, Compendium
FOXP1-207	Census, Compendium
EGFR-202	Census, Compendium
TBL1XR1-237	Census, Compendium
RNF43-203	Census, Compendium
APC-207	Census, Compendium
BAP1-202	Census, Compendium
BRCA1-212	Census, Compendium
EIF3E-225	Census, Compendium
DICER1-211	Census, Compendium
HSP90AB1-204	Census, Compendium
CHD2-202	Census, Compendium
MEN1-202	Census, Compendium
PRRX1-207	Census, Compendium
EPHA3-203	Census, Compendium
FUBP1-201	Census, Compendium
GLI1-201	Census, Compendium
RAF1-247	Census, Compendium
IKZF3-203	Census, Compendium
COL1A1-201	Census, Compendium
NPM1-228	Census, Compendium
FOXP1-241	Census, Compendium
NCOA1-201	Census, Compendium
ERBB2-202	Census, Compendium
BRCA1-203	Census, Compendium
MAX-205	Census, Compendium
PABPC1-218	Census, Compendium
RAF1-237	Census, Compendium
PTPRC-202	Census, Compendium
RAP1GDS1-206	Census, Compendium
ACVR1-212	Census, Compendium
IDH2-201	Census, Compendium
ERBB4-204	Census, Compendium
STIL-203	Census, Compendium
CLIP1-201	Census, Compendium
CLTC-221	Census, Compendium
CASP8-207	Census, Compendium
TSC2-259	Census, Compendium
AFF3-210	Census, Compendium
ARHGAP35-205	Census, Compendium
MAP2K4-212	Census, Compendium
BMPR1A-201	Census, Compendium
NFE2L2-233	Census, Compendium
PDGFRB-207	Census, Compendium
RET-201	Census, Compendium
TNFRSF14-203	Census, Compendium
DROSHA-206	Census, Compendium
TBL1XR1-238	Census, Compendium
NFE2L2-265	Census, Compendium
FANCD2-201	Census, Compendium
MET-204	Census, Compendium
APC-201	Census, Compendium
LATS1-202	Census, Compendium
KMT2A-211	Census, Compendium
TET1-201	Census, Compendium
AFF3-219	Census, Compendium
FANCA-222	Census, Compendium
PABPC1-221	Census, Compendium
NTRK3-218	Census, Compendium
USP9X-201	Census, Compendium
CTNNB1-242	Census, Compendium
CCR7-201	Census, Compendium
PRKAR1A-216	Census, Compendium
FANCC-220	Census, Compendium
PRRX1-201	Census, Compendium
RGS7-231	Census, Compendium
NFE2L2-239	Census, Compendium
STAT3-242	Census, Compendium
PABPC1-208	Census, Compendium
NUMA1-211	Census, Compendium
NSD1-204	Census, Compendium
MSI2-227	Census, Compendium
MDM2-220	Census, Compendium
JAK3-207	Census, Compendium
GRIN2A-202	Census, Compendium
MEN1-218	Census, Compendium
AR-208	Census, Compendium
NFE2L2-246	Census, Compendium
GATA2-205	Census, Compendium
STAT5B-209	Census, Compendium
SPOP-209	Census, Compendium
ACSL3-201	Census, Compendium
BTK-208	Census, Compendium
FOXO1-201	Census, Compendium
NFE2L2-225	Census, Compendium
CTNNB1-246	Census, Compendium
RAD21-208	Census, Compendium
EPS15-203	Census, Compendium
KAT6B-224	Census, Compendium
KAT6B-214	Census, Compendium
TP63-201	Census, Compendium
ASXL2-203	Census, Compendium
NCOA1-204	Census, Compendium
ZNF521-209	Census, Compendium
RAF1-213	Census, Compendium
FGFR1-210	Census, Compendium
PTEN-220	Census, Compendium
RAF1-225	Census, Compendium
NCOR2-201	Census, Compendium
PTCH1-201	Census, Compendium
EP300-201	Census, Compendium
NFKB2-211	Census, Compendium
PTPN6-206	Census, Compendium
TET2-203	Census, Compendium
CHEK2-215	Census, Compendium
KDM5C-205	Census, Compendium
KDM6A-208	Census, Compendium
PRKAR1A-208	Census, Compendium
EPHA7-201	Census, Compendium
LPP-205	Census, Compendium
MAP2K1-207	Census, Compendium
SIRPA-203	Census, Compendium
ARHGAP5-205	Census, Compendium
CLIP1-212	Census, Compendium
NUMA1-226	Census, Compendium
SETDB1-213	Census, Compendium
CTNNB1-226	Census, Compendium
FBXW7-220	Census, Compendium
HNRNPA2B1-248	Census, Compendium
DNMT3A-204	Census, Compendium
SPOP-202	Census, Compendium
STAT5B-213	Census, Compendium
XPO1-223	Census, Compendium
TCF7L2-206	Census, Compendium
SPEN-202	Census, Compendium
RAF1-274	Census, Compendium
SMARCA4-220	Census, Compendium
FBXW7-219	Census, Compendium
CUX1-201	Census, Compendium
FANCA-230	Census, Compendium
KIT-201	Census, Compendium
TSC2-201	Census, Compendium
BCL6-201	Census, Compendium
RAF1-250	Census, Compendium
ZBTB16-201	Census, Compendium
PTPRD-207	Census, Compendium
XPO1-243	Census, Compendium
CHEK2-204	Census, Compendium
KIT-202	Census, Compendium
RAC1-202	Census, Compendium
TSC1-221	Census, Compendium
MYH9-201	Census, Compendium
JAK2-202	Census, Compendium
CTCF-208	Census, Compendium
LIFR-208	Census, Compendium
USP8-202	Census, Compendium
TBL1XR1-204	Census, Compendium
TSC1-212	Census, Compendium
EXT2-218	Census, Compendium
BTK-216	Census, Compendium
EPHA3-201	Census, Compendium
NTRK3-217	Census, Compendium
PMS2-255	Census, Compendium
RGS7-205	Census, Compendium
CDH1-202	Census, Compendium
PTPRK-203	Census, Compendium
CSF3R-210	Census, Compendium
GLI1-208	Census, Compendium
HRAS-207	Census, Compendium
ERCC3-201	Census, Compendium
BCOR-207	Census, Compendium
NPM1-215	Census, Compendium
CHD4-211	Census, Compendium
CTNNB1-207	Census, Compendium
CIC-206	Census, Compendium
AKT3-204	Census, Compendium
ATM-226	Census, Compendium
IL6ST-202	Census, Compendium
BRD4-208	Census, Compendium
ACSL3-229	Census, Compendium
TSC1-224	Census, Compendium
CDC73-205	Census, Compendium
PRKAR1A-213	Census, Compendium
CTNNB1-201	Census, Compendium
IKBKB-216	Census, Compendium
CDKN1A-208	Census, Compendium
STAT3-230	Census, Compendium
RAC1-201	Census, Compendium
LZTR1-205	Census, Compendium
PHF6-211	Census, Compendium
CDK4-212	Census, Compendium
ACVR1-220	Census, Compendium
LPP-201	Census, Compendium
CTNNB1-210	Census, Compendium
CDKN2A-203	Census, Compendium
STAT3-201	Census, Compendium
CSF3R-201	Census, Compendium
RBM15-202	Census, Compendium
ZBTB16-220	Census, Compendium
RAF1-260	Census, Compendium
RPL22-201	Census, Compendium
AKT1-203	Census, Compendium
FGFR4-201	Census, Compendium
DNMT3A-201	Census, Compendium
SMARCA4-251	Census, Compendium
RAF1-267	Census, Compendium
RAD21-214	Census, Compendium
RUNX1T1-214	Census, Compendium
BRAF-205	Census, Compendium
CTCF-214	Census, Compendium
RBM10-203	Census, Compendium
TFG-221	Census, Compendium
FGFR2-235	Census, Compendium
HOXA11-201	Census, Compendium
IDH1-205	Census, Compendium
PLCG1-201	Census, Compendium
GATA3-201	Census, Compendium
CASP8-202	Census, Compendium
CHEK2-205	Census, Compendium
NUP214-231	Census, Compendium
HNRNPA2B1-220	Census, Compendium
CDKN1B-205	Census, Compendium
KMT2D-201	Census, Compendium
AKT1-202	Census, Compendium
MDM2-210	Census, Compendium
HLA-A-203	Census, Compendium
PDGFRB-201	Census, Compendium
FANCA-234	Census, Compendium
BMPR1A-204	Census, Compendium
JAK1-225	Census, Compendium
NUMA1-203	Census, Compendium
PRKAR1A-201	Census, Compendium
BRAF-202	Census, Compendium
ACVR2A-201	Census, Compendium
PIK3CB-207	Census, Compendium
NSD1-223	Census, Compendium
KMT2C-201	Census, Compendium
XPO1-228	Census, Compendium
CYLD-203	Census, Compendium
DDX3X-215	Census, Compendium
IKBKB-211	Census, Compendium
STIL-202	Census, Compendium
FANCA-203	Census, Compendium
SALL4-201	Census, Compendium
BCL7A-203	Census, Compendium
SETD1B-202	Census, Compendium
EXT2-223	Census, Compendium
ETV4-205	Census, Compendium
AR-201	Census, Compendium
SMARCA4-221	Census, Compendium
NUMA1-215	Census, Compendium
RARA-204	Census, Compendium
KDM5C-207	Census, Compendium
PMS2-201	Census, Compendium
GNAS-239	Census, Compendium
ZBTB16-212	Census, Compendium
EIF3E-224	Census, Compendium
GATA2-202	Census, Compendium
TET2-201	Census, Compendium
CDKN1A-204	Census, Compendium
PIK3R1-218	Census, Compendium
HNF1A-201	Census, Compendium
FGFR1-255	Census, Compendium
FANCC-204	Census, Compendium
P2RY8-201	Census, Compendium
SMARCA4-202	Census, Compendium
CTNNB1-203	Census, Compendium
RBM15-204	Census, Compendium
USP8-209	Census, Compendium
KRAS-201	Census, Compendium
SPOP-217	Census, Compendium
PIK3CB-209	Census, Compendium
CTNNB1-247	Census, Compendium
NONO-206	Census, Compendium
PMS2-241	Census, Compendium
SIRPA-201	Census, Compendium
STAT6-211	Census, Compendium
HLA-A-211	Census, Compendium
LPP-210	Census, Compendium
SMAD2-201	Census, Compendium
MED12-201	Census, Compendium
STAT5B-225	Census, Compendium
USP44-206	Census, Compendium
GNAS-206	Census, Compendium
KIT-223	Census, Compendium
SPOP-220	Census, Compendium
BCL6-202	Census, Compendium
TBL1XR1-203	Census, Compendium
ERBB2-219	Census, Compendium
PIK3CA-209	Census, Compendium
CXCR4-203	Census, Compendium
FAM135B-202	Census, Compendium
RUNX1T1-207	Census, Compendium
RGS7-227	Census, Compendium
SMAD3-201	Census, Compendium
RHOA-205	Census, Compendium
WAS-207	Census, Compendium
AXIN1-201	Census, Compendium
PTPN13-203	Census, Compendium
NUMA1-210	Census, Compendium
KAT6A-213	Census, Compendium
BRD4-213	Census, Compendium
PDE4DIP-205	Census, Compendium
NCOA1-202	Census, Compendium
CLTC-215	Census, Compendium
CUX1-211	Census, Compendium
ACSL3-236	Census, Compendium
EIF3E-254	Census, Compendium
POLD1-212	Census, Compendium
RALGDS-204	Census, Compendium
DDX3X-256	Census, Compendium
SPOP-224	Census, Compendium
PABPC1-214	Census, Compendium
BCOR-216	Census, Compendium
FLCN-206	Census, Compendium
STAT5B-228	Census, Compendium
ATM-223	Census, Compendium
TFG-214	Census, Compendium
RAF1-217	Census, Compendium
FANCA-207	Census, Compendium
TP53-224	Census, Compendium
MTOR-213	Census, Compendium
BCL11A-202	Census, Compendium
ACVR1-224	Census, Compendium
CHD4-232	Census, Compendium
NUMA1-227	Census, Compendium
PML-217	Census, Compendium
SMARCD1-202	Census, Compendium
FGFR1-212	Census, Compendium
TGFBR2-201	Census, Compendium
STAT5B-215	Census, Compendium
PDE4DIP-260	Census, Compendium
SRSF2-203	Census, Compendium
IRS4-201	Census, Compendium
RARA-208	Census, Compendium
KMT2A-213	Census, Compendium
RGPD3-201	Census, Compendium
PIK3CB-201	Census, Compendium
LPP-209	Census, Compendium
PBRM1-217	Census, Compendium
SETD2-210	Census, Compendium
NONO-231	Census, Compendium
FAM135B-206	Census, Compendium
RHOA-211	Census, Compendium
TET2-204	Census, Compendium
FOXP1-262	Census, Compendium
BRCA1-208	Census, Compendium
MTOR-212	Census, Compendium
MAF-203	Census, Compendium
NCOR2-202	Census, Compendium
NUMA1-231	Census, Compendium
FOXP1-258	Census, Compendium
STAT6-224	Census, Compendium
GNAS-214	Census, Compendium
RABEP1-207	Census, Compendium
BCLAF1-224	Census, Compendium
KDM6A-233	Census, Compendium
MECOM-220	Census, Compendium
NFE2L2-242	Census, Compendium
CTNNB1-202	Census, Compendium
CXCR4-202	Census, Compendium
TSC1-238	Census, Compendium
PRKAR1A-217	Census, Compendium
SMARCA4-205	Census, Compendium
TFG-236	Census, Compendium
HNRNPA2B1-234	Census, Compendium
NF2-210	Census, Compendium
APC-206	Census, Compendium
GATA2-203	Census, Compendium
TBL1XR1-221	Census, Compendium
PPP2R1A-201	Census, Compendium
KAT6B-220	Census, Compendium
PMS2-247	Census, Compendium
STAT6-213	Census, Compendium
NFKB2-201	Census, Compendium
RPL10-201	Census, Compendium
GATA1-201	Census, Compendium
ERCC3-214	Census, Compendium
CCR7-203	Census, Compendium
NONO-235	Census, Compendium
CRTC1-203	Census, Compendium
SPOP-218	Census, Compendium
CTNNB1-248	Census, Compendium
NBEA-251	Census, Compendium
ASXL1-224	Census, Compendium
CXCR4-207	Census, Compendium
ACSL3-212	Census, Compendium
PTPRT-201	Census, Compendium
BRCA1-204	Census, Compendium
PDE4DIP-221	Census, Compendium
ABL2-203	Census, Compendium
TRRAP-206	Census, Compendium
BMPR1A-202	Census, Compendium
PPP2R1A-215	Census, Compendium
DDB2-216	Census, Compendium
FOXP1-267	Census, Compendium
DDX3X-216	Census, Compendium
HLA-A-220	Census, Compendium
KMT2D-215	Census, Compendium
FOXO3-202	Census, Compendium
HLA-A-212	Census, Compendium
PIM1-201	Census, Compendium
ARID1B-203	Census, Compendium
EWSR1-207	Census, Compendium
HNRNPA2B1-246	Census, Compendium
ACVR1-207	Census, Compendium
TP63-202	Census, Compendium
CTNNB1-223	Census, Compendium
SRGAP3-201	Census, Compendium
PTCH1-229	Census, Compendium
CACNA1D-223	Census, Compendium
ENST00000648873	Census, Compendium
NFE2L2-258	Census, Compendium
NCOA2-201	Census, Compendium
FUBP1-204	Census, Compendium
ARAF-201	Census, Compendium
JAK1-212	Census, Compendium
MTCP1-201	Census, Compendium
NRG1-202	Census, Compendium
MAX-201	Census, Compendium
EIF3E-216	Census, Compendium
DDX3X-237	Census, Compendium
BCLAF1-214	Census, Compendium
CTNNB1-229	Census, Compendium
FANCC-217	Census, Compendium
ACSL3-227	Census, Compendium
LRIG3-201	Census, Compendium
ARHGAP5-202	Census, Compendium
SMARCB1-216	Census, Compendium
JAK1-223	Census, Compendium
MALT1-208	Census, Compendium
FANCC-224	Census, Compendium
TRIM33-202	Census, Compendium
IKBKB-227	Census, Compendium
RBM15-206	Census, Compendium
NFKB2-210	Census, Compendium
TFG-223	Census, Compendium
BCOR-214	Census, Compendium
FOXP1-235	Census, Compendium
FH-206	Census, Compendium
WNK2-202	Census, Compendium
CTNNB1-222	Census, Compendium
PTPRC-206	Census, Compendium
IKBKB-217	Census, Compendium
MEN1-203	Census, Compendium
ABL1-202	Census, Compendium
CTCF-209	Census, Compendium
IL6ST-209	Census, Compendium
ACSL3-214	Census, Compendium
HRAS-205	Census, Compendium
MEN1-212	Census, Compendium
XPO1-252	Census, Compendium
CDC73-206	Census, Compendium
BRD4-201	Census, Compendium
CHEK2-226	Census, Compendium
TBL1XR1-236	Census, Compendium
STAT6-207	Census, Compendium
CTCF-205	Census, Compendium
MAML2-201	Census, Compendium
NFE2L2-216	Census, Compendium
NTRK3-202	Census, Compendium
PPP6C-201	Census, Compendium
STIL-208	Census, Compendium
KDM5C-203	Census, Compendium
SETBP1-203	Census, Compendium
ACVR1-226	Census, Compendium
ZNF429-206	Census, Compendium
ACVR1-202	Census, Compendium
U2AF1-210	Census, Compendium
PRKAR1A-202	Census, Compendium
MTOR-215	Census, Compendium
ERBB3-203	Census, Compendium
TSC2-244	Census, Compendium
SRGAP3-202	Census, Compendium
BTG1-201	Census, Compendium
ELF4-201	Census, Compendium
TBL1XR1-202	Census, Compendium
QKI-204	Census, Compendium
HSP90AA1-201	Census, Compendium
HRAS-202	Census, Compendium
BRCA1-226	Census, Compendium
ABI1-207	Census, Compendium
BRCA2-209	Census, Compendium
STAT5B-222	Census, Compendium
CDH11-203	Census, Compendium
NUMA1-222	Census, Compendium
STAT6-212	Census, Compendium
TBL1XR1-208	Census, Compendium
USP44-205	Census, Compendium
JAK1-210	Census, Compendium
PDGFRA-201	Census, Compendium
IDH2-204	Census, Compendium
TFG-220	Census, Compendium
PIK3R1-217	Census, Compendium
CTNNB1-217	Census, Compendium
CDKN1A-201	Census, Compendium
PRDM2-201	Census, Compendium
NTRK3-203	Census, Compendium
NONO-234	Census, Compendium
FGFR1-203	Census, Compendium
CUL3-203	Census, Compendium
PTPN6-211	Census, Compendium
ERCC2-218	Census, Compendium
HNRNPA2B1-236	Census, Compendium
CYSLTR2-206	Census, Compendium
SIRPA-202	Census, Compendium
KIT-219	Census, Compendium
RAF1-205	Census, Compendium
PRDM1-210	Census, Compendium
NIN-217	Census, Compendium
SPOP-206	Census, Compendium
CLTCL1-202	Census, Compendium
TSC2-234	Census, Compendium
XPO1-240	Census, Compendium
PMS2-269	Census, Compendium
BIRC3-202	Census, Compendium
TSC1-203	Census, Compendium
LRP1B-201	Census, Compendium
MED12-217	Census, Compendium
FANCD2-202	Census, Compendium
MDM2-227	Census, Compendium
NUMA1-208	Census, Compendium
EXT2-212	Census, Compendium
RAD21-201	Census, Compendium
RBM15-207	Census, Compendium
POLD1-215	Census, Compendium
NUMA1-209	Census, Compendium
ACSL3-216	Census, Compendium
TNFAIP3-204	Census, Compendium
ABL1-201	Census, Compendium
PMS2-265	Census, Compendium
RAF1-252	Census, Compendium
STAG2-210	Census, Compendium
FOXP1-214	Census, Compendium
TFG-235	Census, Compendium
NF1-201	Census, Compendium
FGFR2-209	Census, Compendium
ELN-211	Census, Compendium
EZH2-208	Census, Compendium
ESR1-207	Census, Compendium
DDX6-207	Census, Compendium
SIRPA-204	Census, Compendium
NIN-215	Census, Compendium
RB1-201	Census, Compendium
KDM5C-221	Census, Compendium
XPO1-238	Census, Compendium
STAT6-219	Census, Compendium
VAV1-202	Census, Compendium
WAS-202	Census, Compendium
POT1-218	Census, Compendium
LPP-220	Census, Compendium
RUNX1T1-216	Census, Compendium
BCL11B-202	Census, Compendium
AKT1-206	Census, Compendium
ETV6-202	Census, Compendium
FOXP1-233	Census, Compendium
DDB2-201	Census, Compendium
ACSL3-225	Census, Compendium
MYD88-208	Census, Compendium
DCAF12L2-201	Census, Compendium
SF3B1-202	Census, Compendium
GATA3-204	Census, Compendium
POLQ-201	Census, Compendium
TP53-203	Census, Compendium
FH-208	Census, Compendium
SETDB1-202	Census, Compendium
PDE4DIP-206	Census, Compendium
SRSF2-201	Census, Compendium
STAT3-249	Census, Compendium
ESR1-209	Census, Compendium
XPO1-203	Census, Compendium
SETBP1-206	Census, Compendium
STAT3-243	Census, Compendium
HNRNPA2B1-209	Census, Compendium
CACNA1D-211	Census, Compendium
NONO-208	Census, Compendium
DNAJB1-201	Census, Compendium
SPOP-203	Census, Compendium
DICER1-228	Census, Compendium
TNFAIP3-209	Census, Compendium
EXT2-208	Census, Compendium
IKBKB-215	Census, Compendium
SETBP1-205	Census, Compendium
MDM4-213	Census, Compendium
SETBP1-201	Census, Compendium
RBM15-203	Census, Compendium
CHEK2-207	Census, Compendium
ACVR2A-202	Census, Compendium
STAT5B-202	Census, Compendium
NFE2L2-203	Census, Compendium
FAM135B-201	Census, Compendium
ABL2-210	Census, Compendium
PTCH1-205	Census, Compendium
DDX3X-221	Census, Compendium
ERCC3-220	Census, Compendium
SMAD4-207	Census, Compendium
NFE2L2-206	Census, Compendium
TNC-202	Census, Compendium
STAG2-223	Census, Compendium
PRDM1-203	Census, Compendium
RGS7-216	Census, Compendium
TOP1-201	Census, Compendium
SMAD2-207	Census, Compendium
LPP-221	Census, Compendium
AFF3-202	Census, Compendium
FGFR1-221	Census, Compendium
FGFR1-238	Census, Compendium
CREBBP-201	Census, Compendium
PTPRK-206	Census, Compendium
HLA-A-216	Census, Compendium
CYLD-211	Census, Compendium
NF2-214	Census, Compendium
TNFAIP3-203	Census, Compendium
CHD4-236	Census, Compendium
CTNNB1-236	Census, Compendium
STIL-204	Census, Compendium
TNFAIP3-206	Census, Compendium
VAV1-207	Census, Compendium
CASP8-205	Census, Compendium
FOXP1-217	Census, Compendium
NKX2-1-204	Census, Compendium
USP8-201	Census, Compendium
SPOP-214	Census, Compendium
CCDC6-201	Census, Compendium
RAF1-238	Census, Compendium
NCOR1-229	Census, Compendium
ELL-201	Census, Compendium
HNRNPA2B1-227	Census, Compendium
DROSHA-211	Census, Compendium
CTNNB1-239	Census, Compendium
DDX3X-217	Census, Compendium
PLAG1-201	Census, Compendium
ERBB3-230	Census, Compendium
POT1-220	Census, Compendium
ABL2-202	Census, Compendium
IL6ST-223	Census, Compendium
KAT6A-205	Census, Compendium
SRSF2-202	Census, Compendium
PTPRK-205	Census, Compendium
HRAS-204	Census, Compendium
FGFR2-234	Census, Compendium
NF1-202	Census, Compendium
TAF15-209	Census, Compendium
MET-201	Census, Compendium
TGFBR2-202	Census, Compendium
PRDM1-208	Census, Compendium
NTRK1-211	Census, Compendium
XPO1-242	Census, Compendium
BIRC6-201	Census, Compendium
KDM5C-202	Census, Compendium
CDKN1A-202	Census, Compendium
ACVR1-217	Census, Compendium
CNOT3-201	Census, Compendium
ATRX-202	Census, Compendium
FANCA-215	Census, Compendium
IL6ST-222	Census, Compendium
CTNNB1-208	Census, Compendium
FGFR2-203	Census, Compendium
MDM4-216	Census, Compendium
FBXO11-215	Census, Compendium
ESR1-202	Census, Compendium
IL7R-209	Census, Compendium
EXT2-203	Census, Compendium
RALGDS-205	Census, Compendium
NFE2L2-252	Census, Compendium
KAT6A-203	Census, Compendium
EIF3E-245	Census, Compendium
MEN1-211	Census, Compendium
RGS7-203	Census, Compendium
SMARCB1-221	Census, Compendium
CRNKL1-205	Census, Compendium
DGCR8-201	Census, Compendium
ERBB4-201	Census, Compendium
CCND2-207	Census, Compendium
ERCC2-214	Census, Compendium
VAV1-201	Census, Compendium
GATA2-212	Census, Compendium
CTNNB1-238	Census, Compendium
FOXA1-203	Census, Compendium
ERBB3-228	Census, Compendium
CBL-205	Census, Compendium
NFE2L2-235	Census, Compendium
PABPC1-201	Census, Compendium
EPAS1-201	Census, Compendium
LRIG3-202	Census, Compendium
PMS2-254	Census, Compendium
CBL-203	Census, Compendium
AKT1-211	Census, Compendium
GLI1-203	Census, Compendium
PML-221	Census, Compendium
BCL2-207	Census, Compendium
CLTC-220	Census, Compendium
SGK1-201	Census, Compendium
DICER1-218	Census, Compendium
MAX-207	Census, Compendium
KMT2A-234	Census, Compendium
SMC1A-203	Census, Compendium
KIT-213	Census, Compendium
ACVR1-215	Census, Compendium
ELF3-201	Census, Compendium
SMARCA4-253	Census, Compendium
ATM-229	Census, Compendium
TSC1-205	Census, Compendium
PTPRC-209	Census, Compendium
AFF3-212	Census, Compendium
ERCC2-203	Census, Compendium
EZH2-216	Census, Compendium
PIK3R1-221	Census, Compendium
MEN1-208	Census, Compendium
NONO-201	Census, Compendium
NONO-222	Census, Compendium
CLTC-219	Census, Compendium
BTK-212	Census, Compendium
RANBP2-202	Census, Compendium
MAP2K4-201	Census, Compendium
ARID1B-220	Census, Compendium
FLT3-201	Census, Compendium
FAS-221	Census, Compendium
NUMA1-228	Census, Compendium
MAPK1-202	Census, Compendium
SMARCA4-243	Census, Compendium
KAT6B-232	Census, Compendium
TSC1-226	Census, Compendium
RAF1-259	Census, Compendium
GATA2-209	Census, Compendium
RAF1-262	Census, Compendium
HLA-A-204	Census, Compendium
SGK1-203	Census, Compendium
USP44-208	Census, Compendium
PTPRT-203	Census, Compendium
IL7R-201	Census, Compendium
POLD1-205	Census, Compendium
PMS2-268	Census, Compendium
TSC1-225	Census, Compendium
CTNNB1-255	Census, Compendium
FANCC-216	Census, Compendium
FOXP1-201	Census, Compendium
ACSL3-226	Census, Compendium
FGFR4-207	Census, Compendium
CDKN1A-203	Census, Compendium
ZEB1-207	Census, Compendium
BRD4-205	Census, Compendium
TSC2-241	Census, Compendium
FAS-208	Census, Compendium
U2AF1-201	Census, Compendium
NFE2L2-264	Census, Compendium
RUNX1T1-223	Census, Compendium
RBM10-201	Census, Compendium
HNRNPA2B1-208	Census, Compendium
KMT2A-222	Census, Compendium
ATM-235	Census, Compendium
ESR1-208	Census, Compendium
AKT1-209	Census, Compendium
PIK3CA-205	Census, Compendium
NOTCH2-201	Census, Compendium
STAT6-218	Census, Compendium
POT1-229	Census, Compendium
CLIP1-202	Census, Compendium
NCOR1-206	Census, Compendium
SMARCA4-233	Census, Compendium
STAG2-211	Census, Compendium
PTPN11-202	Census, Compendium
RHOA-203	Census, Compendium
PTPN13-202	Census, Compendium
PABPC1-210	Census, Compendium
PTPN13-204	Census, Compendium
STAT5B-201	Census, Compendium
TSC1-219	Census, Compendium
RAD21-215	Census, Compendium
MSN-211	Census, Compendium
NF1-211	Census, Compendium
EGFR-201	Census, Compendium
DNMT3A-202	Census, Compendium
CIC-201	Census, Compendium
FGFR4-216	Census, Compendium
STAT3-203	Census, Compendium
PIK3CB-214	Census, Compendium
TP53-205	Census, Compendium
TSC1-210	Census, Compendium
TP63-207	Census, Compendium
FGFR4-208	Census, Compendium
CHEK2-208	Census, Compendium
CLTC-210	Census, Compendium
USP9X-213	Census, Compendium
POT1-223	Census, Compendium
BIRC3-206	Census, Compendium
RAF1-219	Census, Compendium
MYH11-203	Census, Compendium
STAG2-202	Census, Compendium
CDKN2C-201	Census, Compendium
XPO1-249	Census, Compendium
NUMA1-204	Census, Compendium
USP8-205	Census, Compendium
LPP-203	Census, Compendium
