Gene	ROLE	CANCER_TYPE
WNK2	ambiguous	COREAD, HC, THCA
WNK4	ambiguous	MBL
WRN	LoF	NSPH
WT1	LoF	ESCA, PAAD
XPC	LoF	HC
XPO1	Act	CLL, DLBCL, NHLY, PRAD
ZBTB16	ambiguous	BRCA, ESCA, PRAD
ZBTB20	Act	LGG
ZBTB7B	Act	UCS
ZCRB1	LoF	AML
ZEB1	LoF	MM, NSPH
ZFHX3	LoF	BLCA, BRCA, DLBCL, MM, PAAD, PRAD, THYM, UCEC, VV
ZFP36L1	LoF	BLCA
ZFX	LoF	CM
ZNF148	Act	ESCA
ZNF165	LoF	MBL
ZNF208	ambiguous	ESCA
ZNF429	LoF	BLCA, PRAD
ZNF521	Act	ESCA, HC, LUSC, NSPH, PAAD
ZNF626	ambiguous	NSPH
ZNF680	ambiguous	NSPH
ZNF721	ambiguous	NSPH
ZNF780A	Act	NSPH
ZNF814	Act	VV
ZNF93	LoF	NSPH
ZNRF3	LoF	ACC
ZRSR2	LoF	AML
ZXDB	LoF	BRCA
