Gene	Tier	Role in Cancer	Tumour Types(Somatic)	Tumour Types(Germline)
BCL11A	1	oncogene, fusion	B-CLL	
BCL11B	1	oncogene, TSG, fusion	T-ALL	
BCLAF1	2		melanoma, SCC	
BCORL1	1	oncogene, TSG	AML, HNSCC	
BMPR1A	1	oncogene, TSG		gastrointestinal polyps
CAMTA1	1	TSG, fusion	epithelioid haemangioendothelioma	
CARD11	1	oncogene	DLBCL	
CDKN1A	2	oncogene, TSG	bladder cancer	
CDKN1B	1	TSG	breast, small intestine neuroendocrine tumours	pituitary, parathyroid
CDKN2A	1	TSG	melanoma, multiple other tumour types	melanoma, pancreatic
CDKN2C	1	TSG	glioma, MM	
CHCHD7	1	fusion	salivary adenoma	
CHST11	2	oncogene, fusion	B-CLL	
CLTCL1	1	TSG, fusion	ALCL	
COL1A1	1	fusion	DFSP, aneurysmal bone cyst	
COL2A1	1	fusion	chondrosarcoma, enchondroma	
COL3A1	2	fusion	lipoblastoma	
CREBBP	1	oncogene, TSG, fusion	ALL, AML, DLBCL, B-NHL	
CRNKL1	2		base cell carcinoma	
CTNNA1	2	TSG, fusion	AML, MDS, cutaneous melanoma	gastric cancer
CTNNA2	2	oncogene	gastric cancer	
CTNNB1	1	oncogene, fusion	colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types	
CTNND1	2		large intestine carcinoma	
CTNND2	2	oncogene	prostae adenocarcinoma, GIST	
CYP2C8	2		melanoma	
DICER1	1	TSG	sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types	pleuropulmonary blastoma
DNAJB1	1	fusion	fibrolamellar hepatocellular carcinoma	
DNMT3A	1	TSG	AML	
DROSHA	1	TSG	Wilms tumour, NSCLC, bladder carcinoma	
DUX4L1	2	fusion	soft tissue sarcoma	
EIF1AX	2		uveal melanoma, thyroid cancer (PDTC and ATC), low grade serous ovarian cancer	
EIF4A2	1	fusion	NHL	
FAM47C	2		melanoma, clear cell sarcoma of soft parts, SCLC	
FANCD2	1	TSG		AML, leukaemia
FBXO11	1	TSG	DLBCL	
FCGR2B	1	oncogene, fusion	ALL	
FIP1L1	1	fusion	idiopathic hypereosinophilic syndrome	
GOLGA5	1	fusion	papillary thyroid, Spitzoid tumour	
GRIN2A	1	TSG	melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma	
HOXA11	1	oncogene, TSG, fusion	CML	
HOXA13	1	oncogene, fusion	AML	
HOXC11	1	oncogene, fusion	AML	
HOXC13	1	oncogene, fusion	AML	
HOXD11	1	oncogene, fusion	AML	
HOXD13	1	oncogene, fusion	AML*	
KNSTRN	2	oncogene	SCC	
LARP4B	2	TSG	CRC, glioma	
LHFPL6	2	fusion	lipoma	
LSM14A	2	fusion	Spitzoid tumour	
MALAT1	2	oncogene, TSG, fusion	renal cell carcinoma (childhood epithelioid), lung	
MAP2K1	1	oncogene	NSCLC, melanoma, colorectal	
MAP2K2	1	oncogene	NSCLC, melanoma	
MAP2K4	1	oncogene, TSG	pancreatic, breast, colorectal	
MAP3K1	1	oncogene, TSG	luminal A breast	
MB21D2	2		lung cancer	
MLLT10	1	oncogene, fusion	AL	
MLLT11	1	fusion	ALL	
NFATC2	1	oncogene, fusion	Ewing sarcoma	
NFE2L2	1	oncogene, TSG	NSCLC, HNSCC	
NFKBIE	1	TSG	CLL, desmoplastic melanoma	
NKX2-1	1	oncogene, TSG	NSCLC	
NOTCH1	1	oncogene, TSG, fusion	T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC	
NOTCH2	1	oncogene, TSG	marginal zone lymphoma, DLBCL, bladder	
NUP214	1	fusion	AML, T-ALL	
NUTM2B	1	fusion	endometrial stromal sarcoma	
NUTM2D	1	fusion	endometrial stromal sarcoma	
PABPC1	2	oncogene, TSG	HNSCC, biliary tract carcinoma	
PDGFRA	1	oncogene, fusion	GIST, idiopathic hypereosinophilic syndrome, paediatric glioblastoma	GIST
PDGFRB	1	oncogene, fusion	MPN, AML, CMML, CML	
PHOX2B	1	TSG	neuroblastoma	neuroblastoma
PICALM	1	fusion	T-ALL, AML	
PIK3CA	1	oncogene	colorectal, gastric, glioblastoma, breast	
PIK3CB	1	oncogene	SCC, NSCLC	
PIK3R1	1	TSG	glioblastoma, ovarian, colorectal	
POLR2A	2		meningioma	
POU5F1	1	oncogene, fusion	sarcoma	
PRDM16	1	oncogene, fusion	MDS, AML	
PRKACA	1	oncogene	fibrolamellar hepatocellular carcinoma, cortisol secreting adrenal adenoma	
PTPN11	1	oncogene	JMML, AML, MDS	
PTPN13	1	TSG	lung, NSCLC, gastric, peritoneal carcinomatosis	hepatocellular
PWWP2A	2	fusion	Spitzoid tumour	
RABEP1	1	fusion	CMML	
RAD51B	1	TSG, fusion	lipoma, uterine leiomyoma	
RALGDS	2	fusion	PMBL, Hodgkin lymphoma,	
RANBP2	1	TSG, fusion	inflammatory myofibroblastic tumour	
RECQL4	1	oncogene, TSG		osteosarcoma, skin basal cell, skin sqamous cell
RNF213	1	fusion	ALCL	
S100A7	2	fusion	melanoma, T-cell lymphoma	
SDHAF2	1	TSG		paraganglioma
SETBP1	1	oncogene, fusion	aCML, sAML, MDS/MPN-U, CMML, JMML	neuroepithelial tumours
SETD1B	2	TSG	CRC, endometrium	
SETDB1	2	oncogene	malignant mesothelioma	
SH3GL1	1	oncogene, fusion	AL	
SPECC1	2	fusion	JMML	
SRGAP3	2	fusion	pilocytic astrocytoma	
SS18L1	1	fusion	synovial sarcoma	
STAT5B	1	oncogene, TSG, fusion	large granular lymphocytic leukaemia, skin basal cell, APL	
TCF7L2	1	oncogene, fusion	colorectal	
TENT5C	1	TSG	MM	
TGFBR2	1	TSG	head and neck, colorectal	colorectal
THRAP3	2	fusion	aneurysmal bone cyst	
TMSB4X	2	oncogene	DLBCL	
TRIM24	1	oncogene, TSG, fusion	APL	
TRIM27	1	oncogene, fusion	papillary thyroid	
TRIM33	1	TSG, fusion	papillary thyroid	
TRIP11	1	fusion	AML	
ZBTB16	1	TSG, fusion	APL	
ZCCHC8	2	fusion	Spitzoid tumour	
ZNF331	1	TSG, fusion	follicular thyroid adenoma	
ZNF384	1	fusion	ALL	
ZNF429	2		GBM	
ZNF479	2		lung cancer, bladder carcinoma, prostate carcinoma	
ZNF521	1	oncogene, fusion	ALL	
ARHGAP5	2	oncogene	colon cancer, glioma	
ASPSCR1	1	fusion	alveolar soft part sarcoma	
BCL2L12	2	oncogene	melanoma, SCC	
CACNA1D	1	oncogene	adrenal aldosterone producing adenoma	
CBFA2T3	1	TSG, fusion	AML	
CNTNAP2	2	TSG	glioma, melanoma	
CREB3L1	1	TSG, fusion	myxofibrosarcoma	
CREB3L2	1	oncogene, fusion	fibromyxoid sarcoma	
CYSLTR2	2	oncogene	uveal melanoma	
FAM131B	2	fusion	pilocytic astrocytoma	
FAM135B	2		SCLC	
FGFR1OP	1	fusion	MPN, NHL	
HERPUD1	1	fusion	prostate	
IGF2BP2	2	TSG	lymphoma	
MAP3K13	1	oncogene, TSG	breast	
NCKIPSD	2	fusion	ALL	
PDE4DIP	1	fusion	MPN	
POU2AF1	1	oncogene, fusion	NHL	
PPFIBP1	1	fusion	Spitzoid tumour, inflammatory myofibroblastic tumour	
PPP2R1A	1	TSG	clear cell ovarian carcinoma	
PRKAR1A	1	oncogene, TSG, fusion	papillary thyroid	myxoma, endocrine, papillary thyroid
PRPF40B	2		melanoma, colon carcinoma, MDS	
RUNX1T1	1	oncogene, TSG, fusion	AML	
SLC34A2	1	TSG, fusion	NSCLC	
SLC45A3	1	fusion	prostate	
SMARCA4	1	TSG	NSCLC, SCCOHT	
SMARCB1	1	TSG	malignant rhabdoid	malignant rhabdoid
SMARCD1	1	TSG	breast	
SMARCE1	1	TSG		meningioma
TBL1XR1	1	oncogene, TSG, fusion	splenic marginal zone lymphoma, primary central nervous system lymphoma, colorectal carcinoma, gallbladder carcinoma	
TMEM127	1	TSG		pheochromocytoma, renal cell carcinoma
TMPRSS2	1	fusion	prostate	
TNFAIP3	1	TSG	marginal zone B-cell lymphomas, Hodgkin lymphoma, PMBL	
APOBEC3B	1	oncogene, TSG		breast cancer
ARHGAP26	1	TSG, fusion	AML, MDS	
ARHGAP35	1	TSG	endometrial carcinoma	
ARHGEF10	2	TSG	colon cancer	
ARHGEF12	1	TSG, fusion	AML	
C15orf65	2	fusion	PMBL, Hodgkin lymphoma	
CCNB1IP1	1	TSG, fusion	leiomyoma	
DCAF12L2	2		CRC	
HIST1H3B	1	oncogene	glioma	
HIST1H4I	1	fusion	NHL	
HMGN2P46	2	fusion	prostate	
HSP90AA1	1	fusion	NHL	
HSP90AB1	1	fusion	NHL	
KIAA1549	2	fusion	pilocytic astrocytoma	
LEPROTL1	2	TSG	lung cancer, colon cancer	
PAFAH1B2	1	fusion	MLCLS	
PDCD1LG2	1	oncogene, fusion	PMBL, Hodgkin lymphoma	
RAP1GDS1	1	oncogene, fusion	T-ALL	
TNFRSF14	1	TSG	follicular lymphoma	
TNFRSF17	1	oncogene, fusion	intestinal T-cell lymphoma	
ARHGEF10L	2	TSG	lymphoma	
HNRNPA2B1	1	oncogene, fusion	prostate	
