Gene	Tier	Role in Cancer	Tumour Types(Somatic)	Tumour Types(Germline)
MTOR	1	oncogene	endometrial carcinoma, head and neck, clear cell renal cell carcinoma, anaplastic thyroid cancer, urothelial cell carcinoma, central nervous system tumours, testicular germ cell tumours and other tumour types	
MUC1	1	fusion	B-NHL	
MUC4	2	oncogene	HNSCC	
MYCL	1	oncogene	small cell lung carcinoma	
MYCN	1	oncogene	neuroblastoma, Wilms tumour	
MYH9	1	TSG, fusion	ALCL	
NAB2	1	TSG, fusion	solitary fibrous tumour, meningeal haemangiopericytoma	
NACA	2	fusion	NHL	
NBEA	2		large intestine carcinoma, multiple myeloma	
NFIB	1	fusion	adenoid cystic carcinoma, lipoma	
NONO	1	fusion	papillary renal	
NPM1	1	oncogene, fusion	NHL, APL, AML	
NRAS	1	oncogene	melanoma, MM, AML, thyroid	
NRG1	1	TSG, fusion	NSCLC	
NSD1	1	fusion	AML	
NSD2	1	oncogene, fusion	MM	
NSD3	1	oncogene, fusion	AML	
PAX3	1	oncogene, fusion	alveolar rhabdomyosarcoma	
PAX5	1	oncogene, TSG, fusion	NHL, ALL, B-ALL	
PAX7	1	fusion	alveolar rhabdomyosarcoma	
PAX8	1	fusion	follicular thyroid	
PBX1	1	oncogene, fusion	pre B-ALL, myoepithelioma	
PCM1	1	fusion	papillary thyroid, CML, MPN	
PER1	1	TSG, fusion	AML, CMML	
PHF6	1	TSG	ETP ALL	
PIM1	1	oncogene, fusion	NHL	
PMS1	2			colorectal, endometrial, ovarian
PMS2	1	TSG		colorectal, endometrial, ovarian, medulloblastoma, glioma
POLE	1	TSG	colorectal carcinoma, endometrioid carcinoma, stomach carcinoma, skin cancer	colorectal cancer susceptibility
POLG	2	TSG	CRC	
POLQ	1	oncogene, TSG	oral SCC	breast cancer
POT1	1	TSG	CLL	
PRCC	1	fusion	papillary renal	
PRF1	1	TSG		various leukaemia, lymphoma
PTEN	1	TSG	glioma, prostate, endometrial	harmartoma, glioma, prostate, endometrial
PTK6	1	oncogene, TSG	renal, gastric, head and neck, ovarian, others	
RAC1	1	oncogene	melanoma, carcinoma	
RAF1	1	oncogene, fusion	pilocytic astrocytoma, prostate	
RARA	1	oncogene, fusion	APL	
RGS7	2		melanoma	
RHOA	1	oncogene, TSG	diffuse gastric, T cell lymphomas, paediatric Burkitt lymphoma	
RHOH	1	TSG, fusion	NHL	
RMI2	1	TSG, fusion	PMBL, Hodgkin lymphoma	
ROS1	1	oncogene, fusion	glioblastoma, NSCLC, Spitzoid tumour, cholangiocarcinoma, borderline ovarian	
RPL5	1	TSG	T-ALL	
RPN1	1	fusion	AML	
SBDS	1	TSG		AML, MDS
SDC4	1	fusion	NSCLC	
SDHA	1	TSG	GIST, paraganglioma	paraganglioma
SDHB	1	TSG		paraganglioma, pheochromocytoma
SDHC	1	TSG		paraganglioma, pheochromocytoma
SDHD	1	TSG		paraganglioma, pheochromocytoma
SFPQ	1	TSG, fusion	papillary renal	
SGK1	2	oncogene	Nodular lymphocyte predominant Hodgkin lymphoma	
SIX1	1	oncogene	Wilms tumour	
SIX2	2	oncogene	Wilms tumour	
SND1	1	oncogene, fusion	pancreas acinar carcinoma	
SOX2	1	oncogene	NSCLC, oesophageal squamous carcinoma	
SPEN	1	TSG	SMZL, adenoid cystic carcinoma, DLBCL	
SPOP	1	TSG	prostate, endometrial	prostate cancer
SS18	1	fusion	synovial sarcoma	
SSX1	1	oncogene, fusion	synovial sarcoma	
SSX2	1	oncogene, fusion	synovial sarcoma	
SSX4	1	oncogene, fusion	synovial sarcoma	
STIL	1	oncogene, fusion	T-ALL	
STRN	1	fusion	anaplastic thyroid, papillary thyroid, lung	
SUFU	1	TSG	medulloblastoma	medulloblastoma
TAL1	1	oncogene, fusion	lymphoblastic leukaemia/biphasic	
TAL2	1	oncogene, fusion	T-ALL	
TBX3	1	oncogene, TSG	breast, large intestine, skin	
TCF3	1	oncogene, TSG, fusion	pre B-ALL	
TERT	1	oncogene, TSG	melanoma, glioblastoma, hepatocellular carcinoma, bladder, skin basal cell, skin squamous cell, mesothelioma, medulloblastoma, other tumour types	melanoma
TET1	1	oncogene, TSG, fusion	AML	
TET2	1	TSG	MDS	
TFE3	1	oncogene, fusion	papillary renal, alveolar soft part sarcoma, renal	
TFEB	1	oncogene, fusion	renal cell carcinoma (childhood epithelioid)	
TFPT	2	fusion	pre-B ALL	
TFRC	2	fusion	NHL	
TLX1	1	oncogene, fusion	T-ALL	
TLX3	1	oncogene, fusion	T-ALL	
TOP1	1	fusion	AML*	
TP53	1	oncogene, TSG, fusion	breast, colorectal, lung, sarcoma, adrenocortical, glioma, Spitzoid tumour, multiple other tumour types	breast, sarcoma, adrenocortical carcinoma, glioma, multiple other tumour types
TP63	1	oncogene, TSG	HNSCC, DLBCL	NSCLC
TPM3	1	TSG, fusion	papillary thyroid, ALCL, NSCLC, Spitzoid tumour	
TPM4	1	fusion	ALCL	
TSC1	1	TSG	renal cell carcinoma, bladder carcinoma	hamartoma, renal cell carcinoma, tuberous sclerosis tuber
TSC2	1	TSG	pulmonary lymphangioleiomyomatosis (LAM), renal angiomyolipoma, HNSCC	hamartoma, renal cell carcinoma, tuberous sclerosis tuber
TSHR	1	oncogene	toxic thyroid adenoma	thyroid adenoma
UBR5	1	oncogene	mantle cell lymphoma, gastric, colorectal	
USP6	1	oncogene, fusion	aneurysmal bone cyst	
USP8	1	oncogene	corticotroph adenoma	
VAV1	2	fusion	T-cell lymphoma	
WDCP	1	fusion	colorectal	
WIF1	1	TSG, fusion	pleomorphic salivary gland adenoma	
WNK2	2	TSG	gastric cancer	
XPO1	1	oncogene	CLL	
ZEB1	2	oncogene	CCRCC, melanoma	
ACKR3	1	oncogene, fusion	lipoma	
ACSL3	1	fusion	prostate	
ACSL6	2	fusion	AML, AEL	
ACVR1	1	oncogene	DIPG	
AKAP9	2	fusion	papillary thyroid	
ALDH2	2	fusion	leiomyoma	
AMER1	1	TSG	Wilms tumour	
ARID2	1	TSG	hepatocellular carcinoma	
ASXL1	1	TSG	MDS, CMML	
ASXL2	2	TSG	melanoma, CCRCC, AML	
AXIN1	1	TSG	colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma	
AXIN2	1	TSG	colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma	colorectal carcinoma
BARD1	1	TSG	breast cancer	ovarian cancer, breast cancer, endometrioid cancer
BAZ1A	2	TSG	uterine carcinosarcoma, colon cancer	
BCL10	1	TSG, fusion	MALT	
BCL7A	1	fusion	BNHL	
BCL9L	1	oncogene, TSG	colorectal cancer, endometrial carcinoma, gastric cancer	
BIRC3	1	oncogene, TSG, fusion	CLL, MALT, MCL, MM	
BIRC6	2	oncogene, fusion	melanoma, gastric adenocarcinoma, lung adenocarcinoma	
BRCA1	1	TSG	ovarian	breast, ovarian
BRCA2	1	TSG	breast, ovarian, pancreatic	breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)
BRIP1	1	TSG		AML, leukaemia, breast
BUB1B	1	TSG		rhabdomyosarcoma
CANT1	1	fusion	prostate	
CASP3	2	TSG	ovarian cancer	
CASP8	1	TSG	hepatocellular, oral squamous cell, breast	
CASP9	2	TSG	glioma	
CCDC6	1	TSG, fusion	papillary thyroid, CML, NSCLC	
CCND1	1	oncogene, fusion	CLL, B-ALL, breast	
CCND2	1	oncogene, fusion	NHL,CLL	
CCND3	1	oncogene, fusion	MM	
CCNE1	1	oncogene	serous ovarian	
CD209	2		prostate carcinoma	
CD274	1	TSG, fusion	PMBL, Hodgkin lymphoma	
CD79A	1	oncogene	DLBCL, WM	
CD79B	1	oncogene	DLBCL, WM	
CDC73	1	TSG	parathyroid adenoma	parathyroid adenoma, multiple ossifying jaw fibroma
CDH10	2	TSG	melanoma	pancreatic ductal adenocarcinoma
CDH11	1	TSG, fusion	aneurysmal bone cyst	
CDH17	2	oncogene	melanoma	
CDK12	1	TSG	serous ovarian	
CEBPA	1	TSG	AML, MDS	
CEP89	2	fusion	Spitzoid tumour	
CHEK2	1	TSG		breast
CHIC2	2	fusion	AML	
CIITA	1	TSG, fusion	PMBL, Hodgkin lymphoma	
CLIP1	1	fusion	Spitzoid tumour	
CNBD1	2		gastric cancer, colon cancer	
CNOT3	1	TSG	T-ALL	
CNTRL	1	fusion	MPN, NHL	
COX6C	2	fusion	uterine leiomyoma	
CPEB3	2	TSG	lung cancer	
CREB1	1	oncogene, fusion	clear cell sarcoma, angiomatoid fibrous histiocytoma	
CRLF2	1	oncogene, fusion	B-ALL, Downs associated ALL	
CRTC1	1	oncogene, fusion	salivary gland mucoepidermoid	
CRTC3	1	fusion	salivary gland mucoepidermoid	
CSF1R	2	oncogene	MDS, CML, AML, hemangioblastoma, CCRCC	
CSF3R	1	oncogene	aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS	
CSMD3	2	TSG	ovarian cancer, oral SCC, lung cancer	
CXCR4	1	oncogene	WM	
DCTN1	1	fusion	inflammatory myofibroblastic tumour, Spitzoid tumour	
DDIT3	1	oncogene, fusion	liposarcoma	
DDX10	1	TSG, fusion	AML*	
DDX3X	1	TSG	CLL, medulloblastoma	
DGCR8	2	oncogene	Wilms tumour	
ECT2L	2		ETP ALL	
EIF3E	1	TSG, fusion	colorectal	
EP300	1	TSG, fusion	colorectal, breast, pancreatic, AML, ALL, DLBCL	
EPAS1	1	oncogene, TSG	paraganglioma, pheochromocytoma, central nervous system hemangioblastomas	
EPHA3	2		lung cancer, CRC, melanoma	
EPHA7	2		CRC, melanoma	
EPS15	1	TSG, fusion	ALL	
ERBB2	1	oncogene, fusion	breast, ovarian, other tumour types, NSCLC, gastric	
ERBB3	1	oncogene	colon, gastric, head and neck, bladder, skin	
ERBB4	1	oncogene, TSG	melanoma, gastric, NSCLC	
ERCC2	1	TSG		skin basal cell, skin squamous cell, melanoma
ERCC3	1	TSG		skin basal cell, skin squamous cell, melanoma
ERCC4	1	TSG		skin basal cell, skin squamous cell, melanoma
ERCC5	1	TSG		skin basal cell, skin squamous cell, melanoma
ETNK1	1	TSG	aCML, CMML, SM-AHD, HES	
EWSR1	1	oncogene, fusion	Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma	
FANCA	1	TSG		AML, leukaemia
FANCC	1	TSG		AML, leukaemia
FANCE	1	TSG		AML, leukaemia
FANCF	1	TSG		AML, leukaemia
FANCG	1	TSG		AML, leukaemia
FBLN2	2	TSG	breast cancer, colorectal adenocarcinoma	
FBXW7	1	TSG	colorectal, endometrial, T-ALL	
FCRL4	1	oncogene, fusion	B-NHL	
FGFR1	1	oncogene, fusion	MPN, NHL, salivary adenoma	
FGFR2	1	oncogene, fusion	gastric, NSCLC, endometrial	
FGFR3	1	oncogene, fusion	bladder, MM, T-cell lymphoma	
FGFR4	1	oncogene	rhabdomyosarcoma	
FKBP9	2		glioma	
FNBP1	2	fusion	AML	
FOXA1	1	oncogene	breast, prostate	
FOXL2	1	oncogene, TSG	granulosa-cell tumour of the ovary	
FOXO1	1	oncogene, TSG, fusion	alveolar rhabdomyosarcoma	
FOXO3	1	oncogene, TSG, fusion	AL	
FOXO4	1	oncogene, TSG, fusion	AL, soft tissue sarcoma	
FOXP1	1	oncogene, fusion	ALL	
FOXR1	2	oncogene, fusion	neuroblastoma	
FSTL3	1	oncogene, fusion	B-CLL	
FUBP1	1	oncogene	oligodendroglioma	
GATA1	1	oncogene, TSG	megakaryoblastic leukaemia of Downs syndrome	
